Date,SPY,AMZN
28/08/2019,267.872253,88.212502
29/08/2019,271.293701,89.32
30/08/2019,271.173218,88.814499
3/09/2019,269.587585,89.491997
4/09/2019,272.647522,90.030998
5/09/2019,276.152588,92.036003
6/09/2019,276.365753,91.675499
9/09/2019,276.504913,91.567497
10/09/2019,276.439941,91.027496
11/09/2019,278.405823,91.149498
12/09/2019,279.370087,92.177498
13/09/2019,279.184662,91.967003
16/09/2019,278.322388,90.391998
17/09/2019,279.027039,91.127502
18/09/2019,279.194,90.873001
19/09/2019,279.175323,91.074997
20/09/2019,277.856323,89.708
23/09/2019,277.791107,89.264999
24/09/2019,275.611328,87.080498
25/09/2019,277.241455,88.416496
26/09/2019,276.664001,86.991997
27/09/2019,275.173523,86.272499
30/09/2019,276.449707,86.795502
1/10/2019,273.161438,86.782501
2/10/2019,268.336121,85.661499
3/10/2019,270.534546,86.221001
4/10/2019,274.195435,86.982498
7/10/2019,273.01239,86.633003
8/10/2019,268.773865,85.275497
9/10/2019,271.326263,86.099503
10/10/2019,273.161438,86.013
11/10/2019,275.993225,86.596001
14/10/2019,275.685852,86.821503
15/10/2019,278.415253,88.369003
16/10/2019,277.96817,88.871498
17/10/2019,278.787872,89.374001
18/10/2019,277.567535,87.875504
21/10/2019,279.449219,89.282997
22/10/2019,278.536346,88.286499
23/10/2019,279.346802,88.108498
24/10/2019,279.803192,89.039001
25/10/2019,280.949005,88.066498
28/10/2019,282.532593,88.853996
29/10/2019,282.4487,88.135498
30/10/2019,283.315125,88.999496
31/10/2019,282.560547,88.833
1/11/2019,285.178162,89.571999
4/11/2019,286.323914,90.233002
5/11/2019,286.007172,90.085503
6/11/2019,286.072418,89.788498
7/11/2019,287.07843,89.410004
8/11/2019,287.786407,89.293999
11/11/2019,287.236816,88.582497
12/11/2019,287.842285,88.900002
13/11/2019,287.935455,87.655502
14/11/2019,288.354675,87.730003
15/11/2019,290.441315,86.974503
18/11/2019,290.655548,87.626503
19/11/2019,290.571655,87.639503
20/11/2019,289.491119,87.276497
21/11/2019,289.02533,86.735497
22/11/2019,289.668091,87.286003
25/11/2019,291.913086,88.692001
26/11/2019,292.574554,89.847
27/11/2019,293.878662,90.925499
29/11/2019,292.788727,90.040001
2/12/2019,290.301575,89.080002
3/12/2019,288.354675,88.498001
4/12/2019,290.133881,88.0345
5/12/2019,290.655548,87.024002
6/12/2019,293.310425,87.580002
9/12/2019,292.388184,87.475502
10/12/2019,292.062134,86.960503
11/12/2019,292.891113,87.435997
12/12/2019,295.41571,88.016502
13/12/2019,295.592651,88.046997
16/12/2019,297.623322,88.460503
17/12/2019,297.688599,89.532997
18/12/2019,297.707214,89.2015
19/12/2019,298.92749,89.613998
20/12/2019,300.238037,89.324997
23/12/2019,300.696747,89.650002
24/12/2019,300.706085,89.460503
26/12/2019,302.306885,93.438499
27/12/2019,302.231995,93.489998
30/12/2019,300.565704,92.344498
31/12/2019,301.295837,92.391998
2/01/2020,304.113495,94.900497
3/01/2020,301.81073,93.748497
6/01/2020,302.962128,95.143997
7/01/2020,302.110291,95.343002
8/01/2020,303.72049,94.598503
9/01/2020,305.779785,95.052498
10/01/2020,304.899811,94.157997
13/01/2020,306.996796,94.565002
14/01/2020,306.528656,93.472
15/01/2020,307.221436,93.100998
16/01/2020,309.776978,93.897003
17/01/2020,310.741211,93.236
21/01/2020,310.13269,94.599998
22/01/2020,310.170135,94.373001
23/01/2020,310.525848,94.228996
24/01/2020,307.764343,93.082001
27/01/2020,302.831055,91.417
28/01/2020,306.004486,92.662498
29/01/2020,305.751648,92.900002
30/01/2020,306.743958,93.533997
31/01/2020,301.174133,100.435997
3/02/2020,303.411407,100.209999
4/02/2020,308.035858,102.483498
5/02/2020,311.593018,101.9935
6/02/2020,312.64151,102.511497
7/02/2020,310.97522,103.963997
10/02/2020,313.296753,106.695503
11/02/2020,313.839783,107.540001
12/02/2020,315.861725,108
13/02/2020,315.524689,107.4935
14/02/2020,316.030182,106.7435
18/02/2020,315.21579,107.783501
19/02/2020,316.722931,108.511002
20/02/2020,315.421783,107.654999
21/02/2020,312.173462,104.7985
24/02/2020,301.820099,100.4645
25/02/2020,292.674286,98.637001
26/02/2020,291.597748,98.9795
27/02/2020,278.501617,94.214996
28/02/2020,277.331421,94.1875
2/03/2020,289.341766,97.697502
3/03/2020,281.05722,95.449501
4/03/2020,292.87085,98.791496
5/03/2020,283.135284,96.2015
6/03/2020,278.454773,95.054497
9/03/2020,256.708954,90.030502
10/03/2020,269.992371,94.591003
11/03/2020,256.830627,91.042999
12/03/2020,232.257843,83.830498
13/03/2020,252.112686,89.25
16/03/2020,224.525589,84.457497
17/03/2020,236.648193,90.391998
18/03/2020,224.666016,91.5
19/03/2020,225.143387,94.046501
20/03/2020,215.441055,92.304497
23/03/2020,209.932602,95.141502
24/03/2020,228.953186,97.004997
25/03/2020,232.380646,94.292
26/03/2020,245.949356,97.774498
27/03/2020,238.623566,95.004997
30/03/2020,246.373001,98.197502
31/03/2020,242.70076,97.486
1/04/2020,231.77803,95.385002
2/04/2020,237.126419,95.941498
3/04/2020,233.698929,95.329498
6/04/2020,249.395615,99.879501
7/04/2020,249.649857,100.580002
8/04/2020,258.030243,102.150002
9/04/2020,261.956757,102.138
13/04/2020,259.565033,108.443497
14/04/2020,267.220367,114.166
15/04/2020,261.54245,115.384003
16/04/2020,262.804169,120.4095
17/04/2020,269.903931,118.75
20/04/2020,265.148834,119.680496
21/04/2020,257.098022,116.405998
22/04/2020,262.804169,118.1745
23/04/2020,262.785339,119.972504
24/04/2020,266.448212,120.511002
27/04/2020,270.289948,118.800003
28/04/2020,269.047089,115.704002
29/04/2020,276.090363,118.635498
30/04/2020,273.519684,123.699997
1/05/2020,266.278748,114.302002
4/05/2020,267.013245,115.7995
5/05/2020,269.480194,115.889999
6/05/2020,267.653473,117.563004
7/05/2020,270.883209,118.380501
8/05/2020,275.365295,118.980499
11/05/2020,275.421753,120.449997
12/05/2020,269.93219,117.847504
13/05/2020,265.158203,118.396004
14/05/2020,268.331421,119.442497
15/05/2020,269.564972,120.488998
18/05/2020,277.775879,121.313004
19/05/2020,274.922729,122.466499
20/05/2020,279.593201,124.897003
21/05/2020,277.662842,122.336998
